Date,Actual,ARIMA,SARIMA,LSTM
2023-08-02,122.8475341796875,127.85849150479795,127.8417827679592,126.70764
2023-08-03,122.1614990234375,127.85727939557256,128.53080319633835,126.794044
2023-08-04,125.0526123046875,127.85739448779294,128.485808227342,126.58773
2023-08-05,125.36295318603516,127.85739084504664,128.4516242989688,126.54978166666666
2023-08-06,125.67329406738283,127.85738720230034,128.41744037059556,126.51183333333333
2023-08-07,125.98363494873048,127.85738355955404,128.38325644222235,126.473885
2023-08-08,126.57167053222656,127.8573845972124,128.61758533958178,126.466324
2023-08-09,129.0707550048828,127.85738449868464,128.554974551073,126.57447
2023-08-10,126.81666564941406,127.85738450804004,128.5024661113248,126.972046
2023-08-11,129.4137725830078,127.85738450715172,128.4929047048016,127.27688
2023-08-12,128.9074198404948,127.85738450717983,128.67690750627676,127.445245
2023-08-13,128.40106709798178,127.85738450720795,128.86091030775196,127.61361000000001
2023-08-14,127.89471435546876,127.85738450723606,129.04491310922714,127.781975
2023-08-15,128.28673553466797,127.85738450723204,129.2036472209856,127.9846875
2023-08-16,128.6787567138672,127.85738450722803,129.36238133274404,128.1874
2023-08-17,126.70967864990234,127.85738450722882,129.36942968641952,128.60222
2023-08-18,125.18364715576172,127.85738450722874,129.44644616397872,128.79144
2023-08-19,125.87282307942708,127.85738450722874,129.43947014714533,128.76574
2023-08-20,126.56199900309244,127.85738450722874,129.43249413031194,128.74004
2023-08-21,127.2511749267578,127.85738450722874,129.42551811347855,128.71434
2023-08-22,131.23854064941406,127.85738450722874,130.11503514086218,128.68318
2023-08-23,131.3369903564453,127.85738450722874,130.070025652384,129.01576
2023-08-24,132.32151794433594,127.85738450722874,129.96747429178265,129.5056
2023-08-25,131.3369903564453,127.85738450722874,130.2018031767301,130.15872
2023-08-26,131.82925415039062,127.85738450722874,130.1809329140148,130.35843333333332
2023-08-27,132.32151794433594,127.85738450722874,130.1600626512995,130.55814666666666
2023-08-28,132.81378173828125,127.85738450722874,130.1391923885842,130.75786
2023-08-29,132.46920776367188,127.85738450722874,130.0866839488254,131.43245
2023-08-30,132.46920776367188,127.85738450722874,130.07712254230253,132.04375
2023-08-31,131.1400909423828,127.85738450722874,130.62913094672808,132.57718
2023-09-01,135.71817016601562,127.85738450722874,130.946599170245,132.8943
2023-09-02,136.60425313313803,127.85738450722874,130.94894862147015,133.09542666666667
2023-09-03,137.4903361002604,127.85738450722874,130.95129807269532,133.29655333333332
2023-09-04,138.3764190673828,127.85738450722874,130.95364752392047,133.49768
2023-09-05,137.53956604003906,127.85738450722874,131.03066400147966,134.40523
2023-09-06,136.16122436523438,127.85738450722874,131.00973595097952,135.32668
2023-09-07,137.68724060058594,127.85738450722874,131.69925297836315,136.0776
2023-09-08,141.0839080810547,127.85738450722874,131.65424348988495,136.82484
2023-09-09,141.54335021972656,127.85738450722874,131.62005970301783,137.14988333333332
2023-09-10,142.00279235839844,127.85738450722874,131.5858759161507,137.47492666666668
2023-09-11,142.4622344970703,127.85738450722874,131.5516921292836,137.79997
2023-09-12,132.07537841796875,127.85738450722874,131.78602101423104,138.9203
2023-09-13,133.74911499023438,127.85738450722874,131.72341022608518,139.05472
2023-09-14,134.6844024658203,127.85738450722874,131.67090178632634,138.89107
2023-09-15,133.60142517089844,127.85738450722874,131.66134037980348,138.57483
2023-09-16,134.97976684570312,127.85738450722874,131.84534318127865,138.40733
2023-09-17,136.3581085205078,127.85738450722874,132.02934598275385,138.23982999999998
2023-09-18,137.7364501953125,127.85738450722874,132.21334878422903,138.07233
2023-09-19,136.25965881347656,127.85738450722874,132.3720828959875,137.98476
2023-09-20,134.78286743164062,127.85738450722874,132.53081700774595,137.89719
2023-09-21,133.1583709716797,127.85738450722874,132.5378653614214,137.59187
2023-09-22,133.94602966308594,127.85738450722874,132.6148818389806,137.13663
2023-09-23,134.12652079264322,127.85738450722874,132.60790582214722,136.99505666666667
2023-09-24,134.30701192220053,127.85738450722874,132.60092980531385,136.85348333333332
2023-09-25,134.4875030517578,127.85738450722874,132.59395378848046,136.71191
2023-09-26,135.521240234375,127.85738450722874,133.2834708158641,136.37112
2023-09-27,134.4875030517578,127.85738450722874,133.2384613273859,136.19962
2023-09-28,132.9614715576172,127.85738450722874,133.13590996678454,136.03639
2023-09-29,136.16122436523438,127.85738450722874,133.37023885173198,135.76872
2023-09-30,136.38274383544922,127.85738450722874,133.3545861546955,135.7707625
2023-10-01,136.60426330566406,127.85738450722874,133.33893345765904,135.772805
2023-10-02,136.8257827758789,127.85738450722874,133.3232807606226,135.77484750000002
2023-10-03,137.04730224609375,127.85738450722874,133.30762806358612,135.77689
2023-10-04,136.70272827148438,127.85738450722874,133.25511962382728,135.98526
2023-10-05,136.80116271972656,127.85738450722874,133.24555821730442,136.26794
2023-10-06,136.8503875732422,127.85738450722874,133.79756662172997,136.59413
2023-10-07,135.78380839029947,127.85738450722874,133.9033893629023,136.70446666666666
2023-10-08,134.71722920735678,127.85738450722874,134.00921210407458,136.81480333333334
2023-10-09,133.65065002441406,127.85738450722874,134.1150348452469,136.92514
2023-10-10,137.78570556640625,127.85738450722874,134.12208319892235,136.9337
2023-10-11,135.61972045898438,127.85738450722874,134.19909967648155,137.17833
2023-10-12,136.06277465820312,127.85738450722874,134.1781716259814,137.27179
2023-10-13,135.32435607910156,127.85738450722874,134.86768865336504,137.35274
2023-10-14,135.30794779459634,127.85738450722874,134.85268549053896,137.34714
2023-10-15,135.29153951009116,127.85738450722874,134.8376823277129,137.34154
